City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,vorgashor,67.5833,63.95,8.54,70,4,2.55,RU,1723054875
115,whitehorse,60.7161,-135.0538,21.43,38,0,7.72,CA,1723055039
116,hillsborough,37.5741,-122.3794,29.85,62,0,2.68,US,1723054899
117,pacific grove,36.6177,-121.9166,25.67,84,0,6.17,US,1723055041
118,yung shue wan,22.2333,114.1167,30.38,85,89,6.42,HK,1723055042
119,fale old settlement,-9.3852,-171.2468,27.29,75,97,8.65,TK,1723055044
120,sinop,41.7711,34.8709,17.76,88,29,0.44,TR,1723054458
121,acajutla,13.5928,-89.8275,30.24,63,90,3.0,SV,1723055047
122,cabo san lucas,22.8909,-109.9124,33.61,70,20,5.66,MX,1723055048
123,enewetak,11.3474,162.3373,28.63,74,87,5.0,MH,1723055049
124,progreso,21.2833,-89.6667,34.5,60,86,4.82,MX,1723055050
125,port elizabeth,-33.918,25.5701,15.73,52,0,1.54,ZA,1723055052
126,chongwe,-15.3292,28.682,18.24,42,5,2.49,ZM,1723055053
127,bardai,11.65,7.2333,22.64,92,97,2.82,NG,1723055055
128,longyearbyen,78.2186,15.6401,10.91,93,75,1.54,SJ,1723055056
129,sandnessjoen,66.0217,12.6316,20.23,60,75,3.09,NO,1723055057
130,panama city beach,30.1766,-85.8055,36.16,54,40,4.63,US,1723055015
131,coquimbo,-29.9533,-71.3436,13.85,76,75,4.63,CL,1723055059
132,guanica,17.9716,-66.908,31.96,69,3,6.32,PR,1723055061
133,ancud,-41.8697,-73.8203,8.85,68,3,1.68,CL,1723055063
134,muntok,-2.0667,105.1833,26.26,82,99,3.43,ID,1723055064
135,mount isa,-20.7333,139.5,10.87,50,0,2.57,AU,1723055065
136,atafu village,-8.5421,-172.5159,28.35,68,100,9.19,TK,1723055066
137,fort-shevchenko,44.5086,50.263,27.21,72,34,7.27,KZ,1723055067
138,avarua,-21.2078,-159.775,23.03,73,40,5.66,CK,1723055068
139,isabela,6.7085,121.9711,26.03,89,100,1.92,PH,1723055069
140,weno,7.4515,151.8468,27.97,83,100,2.06,FM,1723055070
141,crane,31.3974,-102.3501,35.23,24,0,2.24,US,1723055071
142,lubang,13.8584,120.124,29.15,76,58,8.48,PH,1723055073
143,val-d'or,48.1002,-77.7828,21.05,46,40,3.09,CA,1723055074
144,pyu,18.4833,96.4333,23.55,99,100,2.16,MM,1723055075
145,sitka,57.0531,-135.33,13.94,94,40,0.0,US,1723055076
146,saipan,15.1355,145.701,28.39,89,40,1.54,MP,1723055077
147,egilsstadir,65.2653,-14.3948,9.95,81,75,5.66,IS,1723055078
148,st. paul,44.9444,-93.0933,25.33,58,40,5.14,US,1723054853
